2026-03-05 15:39:05.115 | INFO     | src.image_processor:preprocess_image:87 - 执行自动旋转校正...
2026-03-05 15:39:05.277 | INFO     | src.image_processor:preprocess_image:103 - ✓ 预处理完成，临时保存至: data/temp_images/processed\temp_ScreenShot_2026-03-05_153852_632.png
2026-03-05 15:39:05.278 | INFO     | src.llm_vision_parser:_parse_image:110 - 已加载图片: data/temp_images/processed\temp_ScreenShot_2026-03-05_153852_632.png
2026-03-05 15:39:05.278 | INFO     | src.llm_vision_parser:_parse_image:111 - 正在调用大模型进行表格识别（第1/3次）...
2026-03-05 15:39:32.057 | INFO     | src.llm_vision_parser:_extract_and_parse_json:259 - ✓ JSON 解析成功（直接解析）
2026-03-05 15:39:32.057 | INFO     | src.llm_vision_parser:_parse_image:148 - ✓ 大模型识别成功
2026-03-05 15:39:32.057 | INFO     | src.table_structure_detector:detect_structure:69 - ✓ 表格结构检测完成
2026-03-05 15:39:32.058 | INFO     | src.table_structure_detector:detect_structure:70 -   - 有表格: True
2026-03-05 15:39:32.058 | INFO     | src.table_structure_detector:detect_structure:71 -   - 有列名: True
2026-03-05 15:39:32.058 | INFO     | src.table_structure_detector:detect_structure:73 -   - 列名: ['', '材质', '规格', '材质', '规格', '材质', '规格', '材质', '规格', '材质', '规格']
2026-03-05 15:39:32.058 | INFO     | src.table_structure_detector:detect_structure:74 -   - 数据行数: 19
2026-03-05 15:39:32.059 | INFO     | src.table_structure_detector:detect_structure:75 -   - 数据格式: object
2026-03-05 15:39:32.059 | INFO     | src.data_validator:validate_and_clean:56 - 📋 开始数据清洗，列名: ['', '材质', '规格', '材质', '规格', '材质', '规格', '材质', '规格', '材质', '规格']
2026-03-05 15:39:32.066 | INFO     | src.data_validator:validate_and_clean:130 - ========== 数据清洗统计 ==========
2026-03-05 15:39:32.066 | INFO     | src.data_validator:validate_and_clean:131 -   总记录数: 19
2026-03-05 15:39:32.066 | INFO     | src.data_validator:validate_and_clean:132 -   有效记录数: 16
2026-03-05 15:39:32.067 | INFO     | src.data_validator:validate_and_clean:133 -   跳过记录数: 3
2026-03-05 15:39:32.067 | INFO     | src.data_validator:validate_and_clean:135 -   清洗完成率: 16/19 (84%)
2026-03-05 15:39:32.068 | INFO     | src.data_validator:validate_and_clean:136 - ================================
2026-03-05 15:39:32.068 | INFO     | __main__:main:207 - ✓ 解析成功 - 提取 16 条有效记录
2026-03-05 15:39:32.068 | INFO     | __main__:main:208 - ✓ 识别列名: ['', '材质', '规格', '材质', '规格', '材质', '规格', '材质', '规格', '材质', '规格']
2026-03-05 15:39:32.068 | INFO     | src.excel_engine:generate:91 - ✓ 列名确定: ['', '材质', '规格', '材质', '规格', '材质', '规格', '材质', '规格', '材质', '规格']
2026-03-05 15:39:32.082 | INFO     | src.excel_engine:generate:104 - ✓ 已创建 DataFrame: 16 行 x 11 列
2026-03-05 15:39:32.130 | INFO     | src.excel_engine:generate:117 - ✓ Excel 文件已保存: data/output_excel\表格_LocalFile_20260305_153932.xlsx
2026-03-05 15:39:32.162 | INFO     | src.excel_engine:generate:122 - ✓ Excel 格式化完成
2026-03-05 15:39:32.162 | INFO     | src.excel_engine:generate:127 - ========== Excel 生成统计 ==========
2026-03-05 15:39:32.163 | INFO     | src.excel_engine:generate:128 -   记录数: 16
2026-03-05 15:39:32.163 | INFO     | src.excel_engine:generate:129 -   字段数: 11
2026-03-05 15:39:32.163 | INFO     | src.excel_engine:generate:130 -   文件大小: 5.9 KB
2026-03-05 15:39:32.163 | INFO     | src.excel_engine:generate:131 -   保存路径: data/output_excel\表格_LocalFile_20260305_153932.xlsx
2026-03-05 15:39:32.164 | INFO     | src.excel_engine:generate:132 - ==================================
2026-03-05 15:39:32.164 | INFO     | __main__:main:218 - ✓ Excel 已保存: data/output_excel\表格_LocalFile_20260305_153932.xlsx
2026-03-05 15:39:32.165 | INFO     | src.file_tracker:mark_as_processed:112 - ✓ 文件已标记为已处理: ScreenShot_2026-03-05_153852_632.png
2026-03-05 15:42:08.419 | INFO     | __main__:main:135 - 
📬 收到 1 条待处理消息
2026-03-05 15:42:08.419 | INFO     | __main__:main:139 - 【1/1】处理来自【LocalFile】的image信息...
2026-03-05 15:42:08.428 | INFO     | src.image_processor:preprocess_image:67 - 原始图片尺寸: 795x552
2026-03-05 15:42:08.428 | INFO     | src.image_processor:preprocess_image:79 - 执行降噪processing...
2026-03-05 15:42:08.449 | INFO     | src.image_processor:preprocess_image:83 - 执行对比度增强...
2026-03-05 15:42:08.459 | INFO     | src.image_processor:preprocess_image:87 - 执行自动旋转校正...
2026-03-05 15:42:08.508 | INFO     | src.image_processor:preprocess_image:103 - ✓ 预处理完成，临时保存至: data/temp_images/processed\temp_ScreenShot_2026-03-05_154202_650.png
